"iso3","regkey","year","coverage","coverage_confirmed"
"UGA","eastcentralbusoga",2003,0,0
"UGA","eastcentralbusoga",2004,0,0
"UGA","eastcentralbusoga",2005,0,0
"UGA","eastcentralbusoga",2006,0,0
"UGA","eastcentralbusoga",2007,0,0
"UGA","eastcentralbusoga",2008,0,0
"UGA","eastcentralbusoga",2009,0,0
"UGA","eastcentralbusoga",2010,0,0
"UGA","eastcentralbusoga",2011,0,0
"UGA","eastcentralbusoga",2012,0,0
"UGA","eastcentralbusoga",2013,0,0
"UGA","eastcentralbusoga",2014,0,0
"UGA","eastcentralbusoga",2015,0,0
"UGA","eastcentralbusoga",2016,0,0
"UGA","eastcentralbusoga",2017,0,0
"UGA","eastcentralbusoga",2018,0,0
"UGA","eastcentralbusoga",2019,0,0
"UGA","eastcentralbusoga",2020,0,0
"UGA","eastcentralbusoga",2021,0,0
"UGA","eastcentralbusoga",2022,0,0
"UGA","eastcentralbusoga",2023,0,0
"UGA","eastcentralbusoga",2024,0,0
"UGA","eastcentralbusoga",2025,0,0
"UGA","eastern2011vintage",2000,0,0
"UGA","eastern2011vintage",2001,0,0
"UGA","eastern2011vintage",2002,0,0
"UGA","eastern2011vintage",2003,0,0
"UGA","eastern2011vintage",2004,0,0
"UGA","eastern2011vintage",2005,0,0
"UGA","eastern2011vintage",2006,0,0
"UGA","eastern2011vintage",2007,0,0
"UGA","eastern2011vintage",2008,0,0
"UGA","eastern2011vintage",2009,0,0
"UGA","eastern2011vintage",2010,0,0
"UGA","eastern2011vintage",2011,0,0
"UGA","eastern2011vintage",2012,0,0
"UGA","eastern2011vintage",2013,0,0
"UGA","eastern2011vintage",2014,0,0
"UGA","eastern2011vintage",2015,0,0
"UGA","eastern2011vintage",2016,0,0
"UGA","eastern2011vintage",2017,0,0
"UGA","eastern2011vintage",2018,0,0
"UGA","eastern2011vintage",2019,0,0
"UGA","eastern2011vintage",2020,0,0
"UGA","eastern2011vintage",2021,0,0
"UGA","eastern2011vintage",2022,0,0
"UGA","eastern2011vintage",2023,0,0
"UGA","eastern2011vintage",2024,0,0
"UGA","eastern2011vintage",2025,0,0
"UGA","midnorth",2000,0,0
"UGA","midnorth",2001,0,0
"UGA","midnorth",2002,0,0
"UGA","midnorth",2003,0,0
"UGA","midnorth",2004,0,0
"UGA","midnorth",2005,0,0
"UGA","midnorth",2006,0,0
"UGA","midnorth",2007,0,0
"UGA","midnorth",2008,0,0
"UGA","midnorth",2009,0,0
"UGA","midnorth",2010,0,0
"UGA","midnorth",2011,0,0
"UGA","midnorth",2012,0,0
"UGA","midnorth",2013,0,0
"UGA","midnorth",2014,0,0
"UGA","midnorth",2015,0,0
"UGA","midnorth",2016,0,0
"UGA","midnorth",2017,0,0
"UGA","midnorth",2018,0,0
"UGA","midnorth",2019,0,0
"UGA","midnorth",2020,0,0
"UGA","midnorth",2021,0,0
"UGA","midnorth",2022,0,0
"UGA","midnorth",2023,0,0
"UGA","midnorth",2024,0,0
"UGA","midnorth",2025,0,0
"UGA","karamoja",2000,0,0
"UGA","karamoja",2001,0,0
"UGA","karamoja",2002,0,0
"UGA","karamoja",2003,0,0
"UGA","karamoja",2004,0,0
"UGA","karamoja",2005,0,0
"UGA","karamoja",2006,0,0
"UGA","karamoja",2007,0,0
"UGA","karamoja",2008,0,0
"UGA","karamoja",2009,0,0
"UGA","karamoja",2010,0,0
"UGA","karamoja",2011,0,0
"UGA","karamoja",2012,0,0
"UGA","karamoja",2013,0,0
"UGA","karamoja",2014,0,0
"UGA","karamoja",2015,0,0
"UGA","karamoja",2016,0,0
"UGA","karamoja",2017,0,0
"UGA","karamoja",2018,0,0
"UGA","karamoja",2019,0,0
"UGA","karamoja",2020,0,0
"UGA","karamoja",2021,0.273584905660377,0.273584905660377
"UGA","karamoja",2022,0.811320754716981,0.811320754716981
"UGA","karamoja",2023,1,1
"UGA","karamoja",2024,1,1
"UGA","karamoja",2025,1,1
"UGA","westnile",2000,0,0
"UGA","westnile",2001,0,0
"UGA","westnile",2002,0,0
"UGA","westnile",2003,0,0
"UGA","westnile",2004,0,0
"UGA","westnile",2005,0,0
"UGA","westnile",2006,0,0
"UGA","westnile",2007,0,0
"UGA","westnile",2008,0,0
"UGA","westnile",2009,0,0
"UGA","westnile",2010,0,0
"UGA","westnile",2011,0,0
"UGA","westnile",2012,0,0
"UGA","westnile",2013,0,0
"UGA","westnile",2014,0,0
"UGA","westnile",2015,0,0
"UGA","westnile",2016,0,0
"UGA","westnile",2017,0,0
"UGA","westnile",2018,0,0
"UGA","westnile",2019,0,0
"UGA","westnile",2020,0,0
"UGA","westnile",2021,0,0
"UGA","westnile",2022,0,0
"UGA","westnile",2023,0,0
"UGA","westnile",2024,0,0
"UGA","westnile",2025,0,0
"UGA","midwestern",2000,0,0
"UGA","midwestern",2001,0,0
"UGA","midwestern",2002,0,0
"UGA","midwestern",2003,0,0
"UGA","midwestern",2004,0,0
"UGA","midwestern",2005,0,0
"UGA","midwestern",2006,0,0
"UGA","midwestern",2007,0,0
"UGA","midwestern",2008,0,0
"UGA","midwestern",2009,0,0
"UGA","midwestern",2010,0,0
"UGA","midwestern",2011,0,0
"UGA","midwestern",2012,0,0
"UGA","midwestern",2013,0,0
"UGA","midwestern",2014,0,0
"UGA","midwestern",2015,0,0
"UGA","midwestern",2016,0,0
"UGA","midwestern",2017,0,0
"UGA","midwestern",2018,0,0
"UGA","midwestern",2019,0,0
"UGA","midwestern",2020,0,0
"UGA","midwestern",2021,0,0
"UGA","midwestern",2022,0,0
"UGA","midwestern",2023,0,0
"UGA","midwestern",2024,0,0
"UGA","midwestern",2025,0,0
"UGA","southwestern",2000,0,0
"UGA","southwestern",2001,0,0
"UGA","southwestern",2002,0,0
"UGA","southwestern",2003,0,0
"UGA","southwestern",2004,0,0
"UGA","southwestern",2005,0,0
"UGA","southwestern",2006,0,0
"UGA","southwestern",2007,0,0
"UGA","southwestern",2008,0,0
"UGA","southwestern",2009,0,0
"UGA","southwestern",2010,0,0
"UGA","southwestern",2011,0,0
"UGA","southwestern",2012,0,0
"UGA","southwestern",2013,0,0
"UGA","southwestern",2014,0,0
"UGA","southwestern",2015,0,0
"UGA","southwestern",2016,0,0
"UGA","southwestern",2017,0,0
"UGA","southwestern",2018,0,0
"UGA","southwestern",2019,0,0
"UGA","southwestern",2020,0,0
"UGA","southwestern",2021,0,0
"UGA","southwestern",2022,0,0
"UGA","southwestern",2023,0,0
"UGA","southwestern",2024,0,0
"UGA","southwestern",2025,0,0
"UGA","mideastern",2000,0,0
"UGA","mideastern",2001,0,0
"UGA","mideastern",2002,0,0
"UGA","mideastern",2003,0,0
"UGA","mideastern",2004,0,0
"UGA","mideastern",2005,0,0
"UGA","mideastern",2006,0,0
"UGA","mideastern",2007,0,0
"UGA","mideastern",2008,0,0
"UGA","mideastern",2009,0,0
"UGA","mideastern",2010,0,0
"UGA","mideastern",2011,0,0
"UGA","mideastern",2012,0,0
"UGA","mideastern",2013,0,0
"UGA","mideastern",2014,0,0
"UGA","mideastern",2015,0,0
"UGA","mideastern",2016,0,0
"UGA","mideastern",2017,0,0
"UGA","mideastern",2018,0,0
"UGA","mideastern",2019,0,0
"UGA","mideastern",2020,0,0
"UGA","mideastern",2021,0,0
"UGA","mideastern",2022,0,0
"UGA","mideastern",2023,0,0
"UGA","mideastern",2024,0,0
"UGA","mideastern",2025,0,0
"UGA","northeast",2000,0,0
"UGA","northeast",2001,0,0
