"iso3","Location","Year","Age","Unit","Value","Lower","Upper"
"RWA","Rwanda",2015,"Under 1","Number",16211.0413117524,15612.7423601446,16808.7129711043
"RWA","Rwanda",2015,"Under 1","Rate (per 100,000)",4444.32413938444,4280.29800299609,4608.17830100192
"NER","Niger",2015,"Under 5","Number",130781.033490802,126445.823992204,135182.0189906
"NER","Niger",2015,"Under 5","Rate (per 100,000)",3098.96348874486,2996.23715608319,3203.24843752016
"NER","Niger",2015,"0 to 6 days (early neonatal)","Number",22302.0641726436,21041.6282183874,23414.7479690017
"NER","Niger",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",119483.126034907,112730.350739513,125444.320355221
"NER","Niger",2015,"7 to 27 days (late neonatal)","Number",9248.20148130118,8512.20660190118,9966.12297569342
"NER","Niger",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",16768.7467363962,15434.2481577378,18070.4748335207
"MDG","Madagascar",2015,"2 to 4","Number",13733.5852097747,12735.8255863254,14820.4923561432
"MDG","Madagascar",2015,"2 to 4","Rate (per 100,000)",580.95604432369,538.7489676448,626.93422603344
"MDG","Madagascar",2015,"12 to 23 months","Number",8306.9211755942,7705.2447005389,8893.84876582658
"MDG","Madagascar",2015,"12 to 23 months","Rate (per 100,000)",973.98971603194,903.44291695986,1042.8072026624
"MDG","Madagascar",2015,"1 to 5 months","Number",10810.9445221609,10036.5371611902,11675.6279105706
"MDG","Madagascar",2015,"1 to 5 months","Rate (per 100,000)",2820.55040003095,2618.50931219672,3046.14429444781
"RWA","Rwanda",2015,"2 to 4","Number",4733.83624584738,4355.17094648081,5076.20869875686
"RWA","Rwanda",2015,"2 to 4","Rate (per 100,000)",459.49665303133,422.74095878215,492.72952971565
"NER","Niger",2015,"Under 1","Number",63463.2095688642,61391.0639120289,65500.6293304884
"NER","Niger",2015,"Under 1","Rate (per 100,000)",6835.57515670718,6612.38588737828,7055.0241256603
"NER","Niger",2015,"2 to 4","Number",42000.2892874221,38912.9483331776,45872.3108237647
"NER","Niger",2015,"2 to 4","Rate (per 100,000)",1741.00591968068,1613.02873265159,1901.50987168376
"MDG","Madagascar",2015,"6-11 months","Number",9426.05847585279,8696.75195876251,10195.1869287104
"MDG","Madagascar",2015,"6-11 months","Rate (per 100,000)",2139.20260912055,1973.68969529715,2313.75293652588
"MWI","Malawi",2015,"Under 5","Number",39889.0024103965,38734.5028568223,41043.9911258969
"MWI","Malawi",2015,"Under 5","Rate (per 100,000)",1410.83890017489,1370.00526729385,1451.68983428264
"MWI","Malawi",2015,"0 to 6 days (early neonatal)","Number",12574.9872492674,11866.3419807419,13235.4218149631
"MWI","Malawi",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",108814.264312272,102682.193398446,114529.156897691
"MWI","Malawi",2015,"7 to 27 days (late neonatal)","Number",2127.03249766504,1956.95247521046,2306.16330346816
"MWI","Malawi",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",6219.22402886315,5721.92755424875,6742.98406214114
"RWA","Rwanda",2015,"12 to 23 months","Number",3247.97368325217,3008.85487356703,3506.47127531802
"RWA","Rwanda",2015,"12 to 23 months","Rate (per 100,000)",910.39017248311,843.36641070952,982.84570641825
