"prevalence","outcome","relative_change","lo","hi"
25.0708090167133,"Post-neonatal (1 month–5 years)",23.1615320797371,16.0777513016377,30.6776088796795
25.5318311953277,"Post-neonatal (1 month–5 years)",23.6539315796928,16.409683198345,31.3489941301786
26.0013310201575,"Post-neonatal (1 month–5 years)",24.1574090122407,16.7486944653666,32.0362705829288
26.4794643849723,"Post-neonatal (1 month–5 years)",24.6722517284259,17.094954438543,32.7398812832178
26.9663900502416,"Post-neonatal (1 month–5 years)",25.1987559849499,17.448637195574,33.4602842098344
27.4622696958503,"Post-neonatal (1 month–5 years)",25.7372272743847,17.8099217141785,34.197952877067
27.9672679747825,"Post-neonatal (1 month–5 years)",26.2879806696775,18.178992036444,34.9533769648889
28.481552567794,"Post-neonatal (1 month–5 years)",26.851341183649,18.556037439646,35.7270629788228
29.0052942390889,"Post-neonatal (1 month–5 years)",27.4276441442259,18.9412526138255,36.5195349410675
29.5386668930206,"Post-neonatal (1 month–5 years)",28.0172355861896,19.3348378464313,37.3313351145604
30.0818476318355,"Post-neonatal (1 month–5 years)",28.620472660265,19.7369992143477,38.1630247617535
30.6350168144787,"Post-neonatal (1 month–5 years)",29.2377240604213,20.1479487836434,39.0151849399815
31.19835811648,"Post-neonatal (1 month–5 years)",29.8693704703046,20.5679048173969,39.88841733542
31.7720585909428,"Post-neonatal (1 month–5 years)",30.5158050297715,20.9970919919702,40.7833451377475
32.3563087306531,"Post-neonatal (1 month–5 years)",31.1774338225525,21.4357416221214,41.700613957757
32.9513025313311,"Post-neonatal (1 month–5 years)",31.8546763861275,21.8840918953688,42.6408927903002
33.5572375560466,"Post-neonatal (1 month–5 years)",32.5479662449608,22.3423881160395,43.6048750250928
34.1743150008175,"Post-neonatal (1 month–5 years)",33.2577514683077,22.8108829594565,44.5932795080676
34.8027397614158,"Post-neonatal (1 month–5 years)",33.9844952538753,23.2898367367455,45.6068516561296
35.4427205014017,"Post-neonatal (1 month–5 years)",34.7286765386928,23.7795176707656,46.6463646283445
36.0944697214084,"Post-neonatal (1 month–5 years)",35.4907906386292,24.2802021836946,47.7126205567869
36.7582038297017,"Post-neonatal (1 month–5 years)",36.2713499180774,24.7921751968301,48.8064518404739
37.4341432140361,"Post-neonatal (1 month–5 years)",37.0708844914147,25.3157304431948,49.9287225060343
38.1225123148336,"Post-neonatal (1 month–5 years)",37.8899429579461,25.8511707935685,51.0803296389937
38.8235396997068,"Post-neonatal (1 month–5 years)",38.7290931721366,26.3988085966017,52.2622048898078
39.5374581393532,"Post-neonatal (1 month–5 years)",39.5889230510494,26.9589660337012,53.4753160590445
40.2645046848449,"Post-neonatal (1 month–5 years)",40.4700414210204,27.5319754894168,54.7206687664038
41.0049207463396,"Post-neonatal (1 month–5 years)",41.3730789057255,28.1181799380974,55.9993082085715
41.7589521732389,"Post-neonatal (1 month–5 years)",42.2986888579247,28.7179333476276,57.3123210112328
42.5268493358207,"Post-neonatal (1 month–5 years)",43.2475483373121,29.3316011011005,58.6608371809291
43.3088672083728,"Post-neonatal (1 month–5 years)",44.2203591370465,29.9595604373313,60.046032162817
44.105265453855,"Post-neonatal (1 month–5 years)",45.2178488617003,30.6022009111659,61.4691290108013
44.9163085101182,"Post-neonatal (1 month–5 years)",46.2407720595335,31.2599248745924,62.9314006769488
45.742265677709,"Post-neonatal (1 month–5 years)",47.2899114121832,31.9331479797226,64.4341724275623
46.5834112092888,"Post-neonatal (1 month–5 years)",48.3660789850544,32.6222997047674,65.9788243937993
47.4400244006973,"Post-neonatal (1 month–5 years)",49.4701175419044,33.3278239042006,67.5667942652656
48.3123896836905,"Post-neonatal (1 month–5 years)",50.6029019273411,34.0501793843669,69.1995801355969
49.200796720384,"Post-neonatal (1 month–5 years)",51.7653405211888,34.7898405058701,70.8787435096735
