"grouping","age_group","pfpr","hr","lo","hi"
"six bands (4-month split)","4-11 months",40,1.47356493556867,1.324629332272,1.63924621510013
"six bands (4-month split)","4-11 months",41,1.48271856222576,1.33237494406339,1.6500267770453
"six bands (4-month split)","4-11 months",42,1.49156851036152,1.33986222298087,1.66045178596982
"six bands (4-month split)","4-11 months",43,1.50011228282915,1.34708036585346,1.67052903311315
"six bands (4-month split)","4-11 months",44,1.50834867261468,1.35401883189983,1.6802688888649
"six bands (4-month split)","4-11 months",45,1.51627775363666,1.36066740163809,1.68968421188425
"six bands (4-month split)","4-11 months",46,1.52390086067277,1.3670163384515,1.69879010794398
"six bands (4-month split)","4-11 months",47,1.53122055867023,1.37305664551333,1.70760354786223
"six bands (4-month split)","4-11 months",48,1.53824060181734,1.37878040093198,1.71614286617357
"six bands (4-month split)","4-11 months",49,1.54496588287583,1.38418114469959,1.72442717370517
"six bands (4-month split)","4-11 months",50,1.55140236408233,1.38925426681999,1.73247572655618
"six bands (4-month split)","4-11 months",51,1.5575569756251,1.39399732526688,1.74030730787375
"six bands (4-month split)","4-11 months",52,1.56343756958213,1.39841040386953,1.74793968009475
"six bands (4-month split)","4-11 months",53,1.56905284533272,1.40249633459845,1.75538913772034
"six bands (4-month split)","4-11 months",54,1.57441223855669,1.40626072338275,1.76267021875888
"six bands (4-month split)","4-11 months",55,1.57952584362969,1.40971188900263,1.76979559451628
"six bands (4-month split)","4-11 months",56,1.58440432727731,1.41286062447035,1.77677615811265
"six bands (4-month split)","4-11 months",57,1.5890588284386,1.41571976840252,1.78362131870771
"six bands (4-month split)","4-11 months",58,1.59350085101796,1.41830361953617,1.79033947824611
"six bands (4-month split)","4-11 months",59,1.59774216048508,1.42062722568883,1.7969386797819
"six bands (4-month split)","4-11 months",60,1.60179469009277,1.42270559476986,1.80342738416266
"six bands (4-month split)","12-23 months",0,0.967462129436701,0.959171089944431,0.975824836368267
"six bands (4-month split)","12-23 months",1,1,1,1
"six bands (4-month split)","12-23 months",2,1.03361849801921,1.02476776602632,1.04254567216749
"six bands (4-month split)","12-23 months",3,1.06831836305418,1.0501264446369,1.08682543008751
"six bands (4-month split)","12-23 months",4,1.10407698130824,1.07606357169772,1.1328196704322
"six bands (4-month split)","12-23 months",5,1.14084830718046,1.10255589198516,1.18047064049797
"six bands (4-month split)","12-23 months",6,1.17856300876668,1.12956935209654,1.2296817039654
"six bands (4-month split)","12-23 months",7,1.21712888715255,1.15705911654033,1.28031723424009
"six bands (4-month split)","12-23 months",8,1.256431619868,1.18496962704293,1.33220327287506
"six bands (4-month split)","12-23 months",9,1.29633587444984,1.21323472893432,1.38512907626848
"six bands (4-month split)","12-23 months",10,1.33668682917806,1.24177789035309,1.43884964708951
"six bands (4-month split)","12-23 months",11,1.37731212515365,1.27051254051194,1.49308930813929
"six bands (4-month split)","12-23 months",12,1.41802425740285,1.29934255253656,1.54754632691544
"six bands (4-month split)","12-23 months",13,1.45862339359217,1.32816289480931,1.60189854169944
