"subset","split","region","era","prevalence","af","lo","hi"
"West, before 2013","era x region","West","before 2013",58.3669559715132,0.481202336001352,0.261506244932361,0.639497425563639
"West, before 2013","era x region","West","before 2013",60.2823832942542,0.49011135185508,0.268150404438934,0.648585558703094
"West, before 2013","era x region","West","before 2013",62.1978106169952,0.498169468229561,0.273944018773527,0.656451627715617
"West, before 2013","era x region","West","before 2013",64.1132379397362,0.505113405940336,0.281384438853935,0.662116587152202
"West, before 2013","era x region","West","before 2013",66.0286652624772,0.51080773202319,0.288457791180908,0.665654818422701
"West, before 2013","era x region","West","before 2013",67.9440925852182,0.515208121884969,0.294967902791227,0.668492611003545
"West, before 2013","era x region","West","before 2013",69.8595199079592,0.518323445803694,0.30104270072311,0.669068585912446
"West, before 2013","era x region","West","before 2013",71.7749472307002,0.5202374201542,0.304159042742647,0.667959452773417
"West, before 2013","era x region","West","before 2013",73.6903745534412,0.521125354117404,0.310716180398454,0.666182549083183
"West, before 2013","era x region","West","before 2013",75.6058018761823,0.521175659701124,0.314645455469377,0.663755909970326
"West, before 2013","era x region","West","before 2013",77.5212291989233,0.520592168000862,0.319874987534957,0.662787094072526
"Central & East, before 2013","era x region","Central & East","before 2013",1.65313624251231,0.00784078716453281,0.00106186894634488,0.016227796995152
"Central & East, before 2013","era x region","Central & East","before 2013",3.40879511398325,0.0285253838518271,0.003923339863261,0.058469648046986
"Central & East, before 2013","era x region","Central & East","before 2013",5.16445398545418,0.0485789098197417,0.00685524444886637,0.0984191295745988
"Central & East, before 2013","era x region","Central & East","before 2013",6.92011285692512,0.0678861784671513,0.010445288686187,0.135043447761384
"Central & East, before 2013","era x region","Central & East","before 2013",8.67577172839606,0.0863205394752074,0.0146076695436517,0.168658622918779
"Central & East, before 2013","era x region","Central & East","before 2013",10.431430599867,0.103779867536432,0.0199437538269292,0.198501627139482
"Central & East, before 2013","era x region","Central & East","before 2013",12.1870894713379,0.120197302914251,0.0254506671714995,0.224266857873027
"Central & East, before 2013","era x region","Central & East","before 2013",13.9427483428089,0.135543947070855,0.0300376024759157,0.247268896934109
"Central & East, before 2013","era x region","Central & East","before 2013",15.6984072142798,0.14981088641673,0.0370410522693033,0.266742896203611
"Central & East, before 2013","era x region","Central & East","before 2013",17.4540660857507,0.163017996546395,0.0423594816523215,0.283248722143032
"Central & East, before 2013","era x region","Central & East","before 2013",19.2097249572217,0.175192446034452,0.0496973884264503,0.299245059805023
"Central & East, before 2013","era x region","Central & East","before 2013",20.9653838286926,0.186385711164085,0.0577997187922265,0.312268780909613
"Central & East, before 2013","era x region","Central & East","before 2013",22.7210427001636,0.196658653573626,0.0641537566780186,0.324942561090327
"Central & East, before 2013","era x region","Central & East","before 2013",24.4767015716345,0.206058084462707,0.0712924765554072,0.334612834814331
"Central & East, before 2013","era x region","Central & East","before 2013",26.2323604431054,0.21462328856579,0.0763967587412558,0.34314188221267
"Central & East, before 2013","era x region","Central & East","before 2013",27.9880193145764,0.222389224749514,0.0818396027163008,0.351829521190282
"Central & East, before 2013","era x region","Central & East","before 2013",29.7436781860473,0.229385928871527,0.0863049925915043,0.358055729569443
"Central & East, before 2013","era x region","Central & East","before 2013",31.4993370575182,0.23562770391087,0.0913880024689713,0.364285732831054
