"iso3","source_age","deaths","rate_per100000","implied_person_years","ihme_deaths_lower","ihme_deaths_upper","ihme_rate_lower","ihme_rate_upper"
"MWI","6-11 months",5250.94758747727,1811.67306676619,289839.689279597,4838.99508290761,5711.77447061638,1669.54190950695,1970.66677956118
"MWI","12 to 23 months",5095.87002682978,888.83724483017,573318.687585312,4726.16831315319,5516.26700657044,824.35274054274,962.16417256582
"MWI","2 to 4",8595.67266188729,515.20838336531,1668387.57664246,7950.46242981199,9235.6777752231,476.53570076396,553.56908098114
"NAM","0 to 6 days (early neonatal)",874.768759188005,72104.998219287,1213.18740835086,826.358832236092,922.963024596741,68114.6891690374,76077.5308285933
"NAM","7 to 27 days (late neonatal)",143.160331492821,3969.38985761773,3606.60798329193,134.436325087345,153.022142946946,3727.50034686715,4242.82715659259
"NAM","1 to 5 months",673.011063616505,2541.62699697903,26479.537100308,632.796667141978,713.065170560197,2389.7572859558,2692.89137441872
"NAM","6-11 months",350.967195269118,1135.81290636741,30900.0886767162,329.625807790116,372.654356335194,1066.7471256757,1205.9976922202
"NAM","12 to 23 months",408.526935834117,645.0644882077,63331.1774717597,384.50820113562,431.360075462722,607.13887927803,681.11804119712
"NAM","2 to 4",467.19858143405,243.41710854609,191933.337892553,440.387657301044,494.159250932527,229.44823558874,257.46400096952
"NER","0 to 6 days (early neonatal)",22302.0641726436,119483.126034907,18665.4508571596,21041.6282183874,23414.7479690017,112730.350739513,125444.320355221
"NER","7 to 27 days (late neonatal)",9248.20148130118,16768.7467363962,55151.4172566527,8512.20660190118,9966.12297569342,15434.2481577378,18070.4748335207
"NER","1 to 5 months",15375.1956053344,3851.20041324495,399231.251441925,14273.7989034515,16651.9988084154,3575.32103308498,4171.01585817053
"NER","6-11 months",16537.748309585,3631.65938042259,455377.186493206,15374.0421304566,17848.8387015075,3376.11162492568,3919.57244036726
"NER","12 to 23 months",25317.5346345158,2879.23812383332,879313.677633889,23444.776718943,27165.182280005,2666.25861911186,3089.36196160428
"NER","2 to 4",42000.2892874221,1741.00591968068,2412415.07640166,38912.9483331776,45872.3108237647,1613.02873265159,1901.50987168376
"NGA","0 to 6 days (early neonatal)",221296.034566867,144869.642964523,152755.284018377,211771.593525213,233342.984173729,138634.545368484,152756.080205813
"NGA","7 to 27 days (late neonatal)",46804.0149175213,10424.7618696622,448969.631179094,43477.5534276174,50081.5541270891,9683.85173701743,11154.7754344907
"NGA","1 to 5 months",114973.333219869,3525.61165667897,3261088.98017914,106444.183825476,122507.990071371,3264.06867376028,3756.65892025557
"NGA","6-11 months",109035.861174101,2912.3872979961,3743865.42782702,101278.306751534,116560.577470005,2705.18021290944,3113.37519248542
"NGA","12 to 23 months",118366.300610282,1624.58136501604,7285957.0569501,109861.149507362,127427.491275663,1507.84788667627,1748.94650462028
"NGA","2 to 4",253983.611871161,1250.42717343165,20311747.6385397,236483.582757926,271998.334657664,1164.26999274657,1339.11832451863
"RWA","0 to 6 days (early neonatal)",7157.16321578967,99839.6196782204,7168.66033630432,6721.78604501789,7577.18602586431,93766.2789095569,105698.773137445
"RWA","7 to 27 days (late neonatal)",1671.8371362838,7862.45058225823,21263.5630430077,1551.5866742848,1809.55623520221,7296.92700676062,8510.12707297548
"RWA","1 to 5 months",4149.02633322463,2666.05934989507,155623.929879428,3852.24743838914,4472.85069068422,2475.35674068489,2874.14068912772
"RWA","6-11 months",3233.0146264543,1789.14010189414,180702.149766335,2982.8908497248,3498.34370302461,1650.722392391,1935.97237639304
"RWA","12 to 23 months",3247.97368325217,910.39017248311,356767.217114531,3008.85487356703,3506.47127531802,843.36641070952,982.84570641825
"RWA","2 to 4",4733.83624584738,459.49665303133,1030222.13864191,4355.17094648081,5076.20869875686,422.74095878215,492.72952971565
"SEN","0 to 6 days (early neonatal)",10051.1372087791,104228.379058402,9643.37860722863,9487.97132744704,10545.5174715694,98388.4560991405,109355.008250579
"SEN","7 to 27 days (late neonatal)",2649.99852086836,9292.11174015204,28518.7973947566,2452.39366113064,2849.97155399686,8599.21835828016,9993.30902543894
"SEN","1 to 5 months",3940.37726235594,1892.67320308927,208191.105359571,3674.99008174019,4275.58456331936,1765.20033139411,2053.68262776401
